 VER_rate (ps-1)     rate from kinetic model (ps-1)
   1.00000000000000       8.533789185867887E-003
   3.05263157894737       6.995682908278961E-003
   5.10526315789474       5.852673345583568E-003
   7.15789473684211       5.001873299853275E-003
   9.21052631578947       4.351569359282471E-003
   11.2631578947368       3.842728664758781E-003
   13.3157894736842       3.436473894823142E-003
   15.3684210526316       3.106434390284143E-003
   17.4210526315789       2.834228939984077E-003
   19.4736842105263       2.606731483468337E-003
   21.5263157894737       2.414365835508713E-003
   23.5789473684211       2.250011554692027E-003
   25.6315789473684       2.108283581321901E-003
   27.6842105263158       1.985046806670312E-003
   29.7368421052632       1.877082032546870E-003
   31.7894736842105       1.781851715403193E-003
   33.8421052631579       1.697332842058549E-003
   35.8947368421053       1.621895819157944E-003
   37.9473684210526       1.554215443064302E-003
   40.0000000000000       1.493204587561546E-003
